"lambda1","lambda2","ndim","iteration","sparsity","rmse","bias"
0,0,1,1,0.85,0.0777799662134151,-0.000274443587324063
0,0,1,1,0.9,0.0941937134996503,0.000697626724058906
0,0,1,1,0.95,0.126159213830233,0.000771613111977042
0,0,1,10,0.85,0.0783587358991557,-0.000516694561081085
0,0,1,10,0.9,0.093684340206734,-0.000822594421010224
0,0,1,10,0.95,0.126387341439266,0.000399760414943447
0,0,1,11,0.85,0.078666262206414,-0.000271299575061706
0,0,1,11,0.9,0.093578907054307,0.000995475236253743
0,0,1,11,0.95,0.126677652131287,-0.000145229677990088
0,0,1,12,0.85,0.0777137655946084,-0.000770455843699804
0,0,1,12,0.9,0.0939736227436585,0.000234729400186225
0,0,1,12,0.95,0.125508988356666,-0.00112783119784378
0,0,1,13,0.85,0.077650234053613,0.00116126388298588
0,0,1,13,0.9,0.093862577229234,0.000148254065816986
0,0,1,13,0.95,0.125828515845386,0.00193609619564327
0,0,1,14,0.85,0.0784738840378756,-0.000480813204483688
0,0,1,14,0.9,0.0938255627547938,-0.000813215648700215
0,0,1,14,0.95,0.126009767445715,-0.00121742909536682
0,0,1,15,0.85,0.0780758107998446,9.98408843768062e-05
0,0,1,15,0.9,0.0939894609691482,-0.000419183723389364
0,0,1,15,0.95,0.12495110240925,-0.000494079436713985
0,0,1,16,0.85,0.0778335735660964,0.00102072609346949
0,0,1,16,0.9,0.0942431222340183,-0.00109427573678943
0,0,1,16,0.95,0.125451637657592,0.0006950739886024
0,0,1,17,0.85,0.0779119868672905,0.000111979185609197
0,0,1,17,0.9,0.0949543339008438,-0.00109959110212738
0,0,1,17,0.95,0.125822191316395,-0.000692720101416401
0,0,1,18,0.85,0.0779633082837483,0.000324040207030474
0,0,1,18,0.9,0.0932135882353291,-0.000875660506662897
0,0,1,18,0.95,0.126315429691677,-0.00123248043684593
0,0,1,19,0.85,0.0777270127084458,-0.000369246037047045
0,0,1,19,0.9,0.0952730432172137,0.00191884806488918
0,0,1,19,0.95,0.126921670838389,-0.00123419870899266
0,0,1,2,0.85,0.0787194915369132,-0.0007250626795177
0,0,1,2,0.9,0.0935619437770503,0.000256369710240558
0,0,1,2,0.95,0.125944212082042,-0.000895087127785534
0,0,1,20,0.85,0.0779252385112125,0.000398085447437395
0,0,1,20,0.9,0.0944216438502153,-0.000620825395341577
