"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"2","all","X1","dich","a1",1,0.851,-Inf,Inf,TRUE,"none",NA,NA
"3","all","X1","dich","a2",1,0.514834703765768,-Inf,Inf,TRUE,"none",NA,NA
"21","all","X1","dich","d",2,2.90231268344619,-Inf,Inf,TRUE,"none",NA,NA
"31","all","X1","dich","g",3,0,0,1,FALSE,"none",NA,NA
"4","all","X1","dich","u",4,1,0,1,FALSE,"none",NA,NA
"5","all","X2","dich","a1",5,0.851,-Inf,Inf,TRUE,"none",NA,NA
"51","all","X2","dich","a2",5,-0.32721934725984,-Inf,Inf,TRUE,"none",NA,NA
"6","all","X2","dich","d",6,2.91695449587103,-Inf,Inf,TRUE,"none",NA,NA
"7","all","X2","dich","g",7,0,0,1,FALSE,"none",NA,NA
"8","all","X2","dich","u",8,1,0,1,FALSE,"none",NA,NA
"9","all","X3","dich","a1",9,0.851,-Inf,Inf,TRUE,"none",NA,NA
"91","all","X3","dich","a2",9,-0.737648280104339,-Inf,Inf,TRUE,"none",NA,NA
"10","all","X3","dich","d",10,3.14738136370653,-Inf,Inf,TRUE,"none",NA,NA
"11","all","X3","dich","g",11,0,0,1,FALSE,"none",NA,NA
"12","all","X3","dich","u",12,1,0,1,FALSE,"none",NA,NA
"13","all","X4","dich","a1",13,0.851,-Inf,Inf,TRUE,"none",NA,NA
"131","all","X4","dich","a2",13,-0.200270698893409,-Inf,Inf,TRUE,"none",NA,NA
"14","all","X4","dich","d",14,3.95754965945421,-Inf,Inf,TRUE,"none",NA,NA
"15","all","X4","dich","g",15,0,0,1,FALSE,"none",NA,NA
"16","all","X4","dich","u",16,1,0,1,FALSE,"none",NA,NA
"17","all","X5","dich","a1",17,0.851,-Inf,Inf,TRUE,"none",NA,NA
"171","all","X5","dich","a2",17,0.523731285183235,-Inf,Inf,TRUE,"none",NA,NA
"18","all","X5","dich","d",18,3.61005341262516,-Inf,Inf,TRUE,"none",NA,NA
"19","all","X5","dich","g",19,0,0,1,FALSE,"none",NA,NA
"20","all","X5","dich","u",20,1,0,1,FALSE,"none",NA,NA
"211","all","X6","dich","a1",21,0.851,-Inf,Inf,TRUE,"none",NA,NA
"212","all","X6","dich","a2",21,-0.732121904893263,-Inf,Inf,TRUE,"none",NA,NA
"22","all","X6","dich","d",22,3.27764075380069,-Inf,Inf,TRUE,"none",NA,NA
"23","all","X6","dich","g",23,0,0,1,FALSE,"none",NA,NA
"24","all","X6","dich","u",24,1,0,1,FALSE,"none",NA,NA
"25","all","X7","dich","a1",25,0.851,-Inf,Inf,TRUE,"none",NA,NA
"251","all","X7","dich","a2",25,0.749567631277629,-Inf,Inf,TRUE,"none",NA,NA
"26","all","X7","dich","d",26,3.42413161393693,-Inf,Inf,TRUE,"none",NA,NA
"27","all","X7","dich","g",27,0,0,1,FALSE,"none",NA,NA
"28","all","X7","dich","u",28,1,0,1,FALSE,"none",NA,NA
"29","all","X8","dich","a1",29,0.851,-Inf,Inf,TRUE,"none",NA,NA
"291","all","X8","dich","a2",29,0.999640118310434,-Inf,Inf,TRUE,"none",NA,NA
"30","all","X8","dich","d",30,4.75407645387857,-Inf,Inf,TRUE,"none",NA,NA
"311","all","X8","dich","g",31,0,0,1,FALSE,"none",NA,NA
"32","all","X8","dich","u",32,1,0,1,FALSE,"none",NA,NA
"33","all","X9","dich","a1",33,0.851,-Inf,Inf,TRUE,"none",NA,NA
"331","all","X9","dich","a2",33,0.00311484206676141,-Inf,Inf,TRUE,"none",NA,NA
"34","all","X9","dich","d",34,4.38024364204109,-Inf,Inf,TRUE,"none",NA,NA
"35","all","X9","dich","g",35,0,0,1,FALSE,"none",NA,NA
"36","all","X9","dich","u",36,1,0,1,FALSE,"none",NA,NA
"37","all","X10","dich","a1",37,0.851,-Inf,Inf,TRUE,"none",NA,NA
"371","all","X10","dich","a2",37,-0.0588085066456483,-Inf,Inf,TRUE,"none",NA,NA
"38","all","X10","dich","d",38,2.95428533456022,-Inf,Inf,TRUE,"none",NA,NA
"39","all","X10","dich","g",39,0,0,1,FALSE,"none",NA,NA
"40","all","X10","dich","u",40,1,0,1,FALSE,"none",NA,NA
"41","all","X11","dich","a1",41,0.851,-Inf,Inf,TRUE,"none",NA,NA
"411","all","X11","dich","a2",41,-0.203679516339001,-Inf,Inf,TRUE,"none",NA,NA
"42","all","X11","dich","d",42,3.13276664730577,-Inf,Inf,TRUE,"none",NA,NA
"43","all","X11","dich","g",43,0,0,1,FALSE,"none",NA,NA
"44","all","X11","dich","u",44,1,0,1,FALSE,"none",NA,NA
"45","all","X12","dich","a1",45,0.851,-Inf,Inf,TRUE,"none",NA,NA
"451","all","X12","dich","a2",45,-0.23337161447396,-Inf,Inf,TRUE,"none",NA,NA
"46","all","X12","dich","d",46,3.97631334539569,-Inf,Inf,TRUE,"none",NA,NA
"47","all","X12","dich","g",47,0,0,1,FALSE,"none",NA,NA
"48","all","X12","dich","u",48,1,0,1,FALSE,"none",NA,NA
"49","all","X13","dich","a1",49,0.851,-Inf,Inf,TRUE,"none",NA,NA
"491","all","X13","dich","a2",49,-0.0270388076709765,-Inf,Inf,TRUE,"none",NA,NA
"50","all","X13","dich","d",50,4.65398326546858,-Inf,Inf,TRUE,"none",NA,NA
"511","all","X13","dich","g",51,0,0,1,FALSE,"none",NA,NA
"52","all","X13","dich","u",52,1,0,1,FALSE,"none",NA,NA
"53","all","X14","dich","a1",53,0.851,-Inf,Inf,TRUE,"none",NA,NA
"531","all","X14","dich","a2",53,0.252316587445434,-Inf,Inf,TRUE,"none",NA,NA
"54","all","X14","dich","d",54,4.48390982929531,-Inf,Inf,TRUE,"none",NA,NA
"55","all","X14","dich","g",55,0,0,1,FALSE,"none",NA,NA
"56","all","X14","dich","u",56,1,0,1,FALSE,"none",NA,NA
"57","all","X15","dich","a1",57,0.851,-Inf,Inf,TRUE,"none",NA,NA
"571","all","X15","dich","a2",57,0.355000368077798,-Inf,Inf,TRUE,"none",NA,NA
"58","all","X15","dich","d",58,4.07602948424035,-Inf,Inf,TRUE,"none",NA,NA
"59","all","X15","dich","g",59,0,0,1,FALSE,"none",NA,NA
"60","all","X15","dich","u",60,1,0,1,FALSE,"none",NA,NA
"61","all","X16","dich","a1",61,0.851,-Inf,Inf,TRUE,"none",NA,NA
"611","all","X16","dich","a2",61,0.135557219765045,-Inf,Inf,TRUE,"none",NA,NA
"62","all","X16","dich","d",62,3.42785869956579,-Inf,Inf,TRUE,"none",NA,NA
"63","all","X16","dich","g",63,0,0,1,FALSE,"none",NA,NA
"64","all","X16","dich","u",64,1,0,1,FALSE,"none",NA,NA
"65","all","X17","dich","a1",65,0.851,-Inf,Inf,TRUE,"none",NA,NA
"651","all","X17","dich","a2",65,0.681207683233325,-Inf,Inf,TRUE,"none",NA,NA
"66","all","X17","dich","d",66,3.5969122918823,-Inf,Inf,TRUE,"none",NA,NA
"67","all","X17","dich","g",67,0,0,1,FALSE,"none",NA,NA
