"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"2","all","X1","dich","a1",1,0.851,-Inf,Inf,TRUE,"none",NA,NA
"3","all","X1","dich","a2",1,0.172031427700865,-Inf,Inf,TRUE,"none",NA,NA
"4","all","X1","dich","a3",1,-0.438730195758887,-Inf,Inf,TRUE,"none",NA,NA
"21","all","X1","dich","d",2,2.90231268344619,-Inf,Inf,TRUE,"none",NA,NA
"31","all","X1","dich","g",3,0,0,1,FALSE,"none",NA,NA
"41","all","X1","dich","u",4,1,0,1,FALSE,"none",NA,NA
"5","all","X2","dich","a1",5,0.851,-Inf,Inf,TRUE,"none",NA,NA
"51","all","X2","dich","a2",5,-0.278400431115883,-Inf,Inf,TRUE,"none",NA,NA
"52","all","X2","dich","a3",5,0.249149376468876,-Inf,Inf,TRUE,"none",NA,NA
"6","all","X2","dich","d",6,2.91695449587103,-Inf,Inf,TRUE,"none",NA,NA
"7","all","X2","dich","g",7,0,0,1,FALSE,"none",NA,NA
"8","all","X2","dich","u",8,1,0,1,FALSE,"none",NA,NA
"9","all","X3","dich","a1",9,0.851,-Inf,Inf,TRUE,"none",NA,NA
"91","all","X3","dich","a2",9,0.85037893746908,-Inf,Inf,TRUE,"none",NA,NA
"92","all","X3","dich","a3",9,-0.0197264084057605,-Inf,Inf,TRUE,"none",NA,NA
"10","all","X3","dich","d",10,3.14738136370653,-Inf,Inf,TRUE,"none",NA,NA
"11","all","X3","dich","g",11,0,0,1,FALSE,"none",NA,NA
"12","all","X3","dich","u",12,1,0,1,FALSE,"none",NA,NA
"13","all","X4","dich","a1",13,0.851,-Inf,Inf,TRUE,"none",NA,NA
"131","all","X4","dich","a2",13,-0.0774575833461485,-Inf,Inf,TRUE,"none",NA,NA
"132","all","X4","dich","a3",13,0.104360791384102,-Inf,Inf,TRUE,"none",NA,NA
"14","all","X4","dich","d",14,3.95754965945421,-Inf,Inf,TRUE,"none",NA,NA
"15","all","X4","dich","g",15,0,0,1,FALSE,"none",NA,NA
"16","all","X4","dich","u",16,1,0,1,FALSE,"none",NA,NA
"17","all","X5","dich","a1",17,0.851,-Inf,Inf,TRUE,"none",NA,NA
"171","all","X5","dich","a2",17,0.349667719535683,-Inf,Inf,TRUE,"none",NA,NA
"172","all","X5","dich","a3",17,-0.497332630009673,-Inf,Inf,TRUE,"none",NA,NA
"18","all","X5","dich","d",18,3.61005341262516,-Inf,Inf,TRUE,"none",NA,NA
"19","all","X5","dich","g",19,0,0,1,FALSE,"none",NA,NA
"20","all","X5","dich","u",20,1,0,1,FALSE,"none",NA,NA
"211","all","X6","dich","a1",21,0.851,-Inf,Inf,TRUE,"none",NA,NA
"212","all","X6","dich","a2",21,-0.0764747004929869,-Inf,Inf,TRUE,"none",NA,NA
